Talep Noktası,N=100000
KESTEL,28382
GEBZE,5968
ÇORLU,5716
CEYHAN,4702
GÖLCÜK,3890
TUZLA,3656
NİLÜFER,3568
BORNOVA,3322
ERGENE,3096
bor,100000
SELÇUKLU,2240
TORBALI,1928
ORHANELİ,1742
ŞEHİTKAMİL,1716
ODUNPAZARI,1714
OSMANGAZİ,1640
ÜMRANİYE,1500
KEMALPAŞA,1272
YÜREĞİR,1264
SARIÇAM,1128
YUNUSEMRE,1060
AVCILAR,884
ÇERKEZKÖY,858
GEMLİK,852
DİLOVASI,850
İZMİT,776
BOZÜYÜK,774
EREĞLİ,734
GÜRSU,682
KÜÇÜKÇEKMECE,624
SİLİVRİ,622
BAHÇELİEVLER,614
DALAMAN,590
SAPANCA,584
LÜLEBURGAZ,548
BAŞİSKELE,488
PENDİK,486
BEYLİKDÜZÜ,480
ESENYURT,480
EYYÜBİYE,428
BAKIRKÖY,378
ŞİŞLİ,364
ARNAVUTKÖY,362
YENİMAHALLE,350
KADIKÖY,348
SANCAKTEPE,340
TARSUS,336
ADAPAZARI,336
BAŞAKŞEHİR,316
ALİAĞA,294
ÇAYIROVA,278
ELMADAĞ,188
SÜLEYMANPAŞA,182
BÜYÜKÇEKMECE,178
EDİRNE,154
BOLU,214
KOCAELİ,128
İNÖNÜ,126
KEPEZ,122
ERENLER,122
DÜZCE,222
AKYURT,106
GAZİOSMANPAŞA,106
ANKARA,148
KARABAĞLAR,86
HENDEK,84
TEKİRDAĞ,82
ZONGULDAK,74
SİNCAN,74
YALOVA,74
SERİK,68
KEŞAN,62
KIRŞEHİR,62
İSKENDERUN,58
ÜSKÜDAR,50
KÜTAHYA,50
HATAY,36
ORHANGAZİ,32
AKDENİZ,30
ZEYTİNBURNU,28
KARŞIYAKA,28
SULTANBEYLİ,26
SALİHLİ,26
İNCESU,24
KÖYCEĞİZ,24
YEŞİLYURT,24
GAZİEMİR,24
KIRIKKALE,22
MANİSA,24
KARTAL,26
KARACASU,22
YILDIRIM,20
BURSA,20
DÖŞEMEALTI,20
YENİŞEHİR,16
BALIKESİR,24
YAKUTİYE,16
ALTINDAĞ,14
IĞDIR,14
ATAŞEHİR,14
BAĞCILAR,14
İNEGÖL,14
SİLİFKE,12
DENİZLİ,12
ÇANKAYA,12
İZMİR,18
BEYPAZARI,12
SEYHAN,12
SÖKE,12
KARACABEY,10
ÇİĞLİ,10
KARADENİZEREĞLİ,10
AKSARAY,8
TAŞKÖPRÜ,8
KARTEPE,8
UZUNKÖPRÜ,8
AYDIN,8
MALTEPE,8
BİLECİK,16
MELİKGAZİ,8
MALATYA,8
KARATAY,8
SAMSUN,8
PAZARCIK,6
MAMAK,6
BANDIRMA,6
MARMARİS,6
UŞAK,6
SAKARYA,6
MENEMEN,6
MURATLI,6
BULANIK,6
POLATLI,6
AKYAZI,6
KAĞITHANE,6
SEYDİŞEHİR,4
BABAESKİ,4
TÜRKOĞLU,4
CİZRE,4
İSLAHİYE,4
EDREMİT,4
KUŞADASI,4
TURGUTLU,4
SOLHAN,4
BODRUM,4
SARAY,4
BAYRAMPAŞA,4
ÇUMRA,4
GÖLBAŞI,4
ÇEKMEKÖY,4
ANTALYA,4
KONAK,4
DARICA,2
PALANDÖKEN,2
ŞIRNAK,2
KARS,2
FERİZLİ,2
ÇUKUROVA,2
BATMAN,2
ERMENEK,2
PİRAZİZ,2
ESENLER,2
BURDUR,2
AĞRI,2
BOLVADİN,2
MERZİFON,2
AKSU,2
BEYOĞLU,2
NEVŞEHİR,2
ARİFİYE,2
MANAVGAT,2
KOCAALİ,2
AFŞİN,2
ELAZIĞ,2
İLKADIM,2
KONYAALTI,2
ANTAKYA,2
TATVAN,2
ŞANLIURFA,18
NİĞDE,2
TEKKEKÖY,2
ŞEREFLİKOÇHİSAR,2
ADIYAMAN,4
FETHİYE,2
ESKİŞEHİR,2
MUĞLA,8
ÇATALCA,2
EYÜP,2
ÇAN,2
AĞLASUN,2
HONAZ,2
TİRE,2
SULTANGAZİ,2
AKHİSAR,2
TEPEBAŞI,2
PAMUKOVA,2
MURATPAŞA,2
